Despesa/Custo;Portador;Empresa;Departamento;Documento;Emissão;Vencimento;Entrada;Pessoa;Pagamentos;Descontos;Juros e Multa;Valor Pago;Valor Parcela;Valor em Aberto;
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002950690 - 001";"29/05/2024 00:00:00";"28/06/2024 00:00:00";"03/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"90,25";"90,25";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002951561 - 001";"30/05/2024 00:00:00";"29/06/2024 00:00:00";"03/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"183,45";"183,45";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002951628 - 001";"30/05/2024 00:00:00";"29/06/2024 00:00:00";"03/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"1611,08";"1611,08";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002951835 - 001";"30/05/2024 00:00:00";"27/09/2024 00:00:00";"03/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"2591,31";"2591,31";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002951957 - 001";"30/05/2024 00:00:00";"29/06/2024 00:00:00";"03/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"891,40";"891,40";
"MANUTENÇÃO DE SISTEMA/SOFTWARE";"A RECEBER DUPLICATAS";"CGM";"ADMINISTRATIVO";"55266 - 001";"04/06/2024 00:00:00";"04/06/2024 00:00:00";"04/06/2024 00:00:00";"MDM SOLUCOES LTDA (217474)";"0";"0";"0";"0";"247,50";"247,50";
"FRETE DE MOTOS E PEÇAS";"DUPLICATAS A PAGAR";"CGM";"COMERCIAL";"13758086 - 001";"29/05/2024 00:00:00";"07/06/2024 00:00:00";"04/06/2024 00:00:00";"BRASPRESS TRANSPORTE URGENTES LTDA (257286)";"0";"0";"0";"0";"152,44";"152,44";
"COMPRA DE ACESSÓRIOS";"A RECEBER BOLETOS BANCÁRIOS";"CGM";"PEÇAS";"41489 - 001";"28/05/2024 00:00:00";"08/07/2024 00:00:00";"04/06/2024 00:00:00";"4TAKES INDUSTRIA, COMERCIO, SERVICOS E PARTICIPACOES LTDA (211852)";"0";"0";"0";"0";"449,12";"449,12";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002951700 - 001";"30/05/2024 00:00:00";"29/06/2024 00:00:00";"04/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"1651,17";"1651,17";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002952765 - 001";"31/05/2024 00:00:00";"30/06/2024 00:00:00";"04/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"264,84";"264,84";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002952776 - 001";"31/05/2024 00:00:00";"30/06/2024 00:00:00";"04/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"42,36";"42,36";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002952863 - 001";"31/05/2024 00:00:00";"30/06/2024 00:00:00";"04/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"7189,60";"7189,60";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002952864 - 001";"31/05/2024 00:00:00";"30/06/2024 00:00:00";"04/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"203,75";"203,75";
"CONTA DE TELEFONE";"DUPLICATAS A PAGAR";"CGM";"TI";"5620 - 001";"04/06/2024 00:00:00";"04/06/2024 00:00:00";"04/06/2024 00:00:00";"ALBERTE TONY DE SOUZA LTDA (208128)";"0";"0";"0";"0";"600,00";"600,00";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015247769 - 001";"22/05/2024 00:00:00";"21/06/2024 00:00:00";"05/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"257,85";"257,85";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015250877 - 001";"24/05/2024 00:00:00";"23/06/2024 00:00:00";"05/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"912,07";"912,07";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015252136 - 001";"25/05/2024 00:00:00";"24/06/2024 00:00:00";"05/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"604,72";"604,72";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015252137 - 001";"25/05/2024 00:00:00";"24/06/2024 00:00:00";"05/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"2512,85";"2512,85";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015252212 - 001";"25/05/2024 00:00:00";"22/09/2024 00:00:00";"05/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"438,25";"438,25";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015252945 - 001";"27/05/2024 00:00:00";"26/06/2024 00:00:00";"05/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"1163,51";"1163,51";
"COMPRA DE PEÇAS PARALELAS";"A RECEBER DUPLICATAS";"CGM";"PEÇAS";"4551224399 - 001";"20/05/2024 00:00:00";"26/06/2024 00:00:00";"05/06/2024 00:00:00";"PIRELLI COMERCIAL DE PNEUS BRASIL LTDA (200331)";"0";"0";"0";"0";"4027,55";"4027,55";
"COMPRA DE PEÇAS PARALELAS";"A RECEBER DUPLICATAS";"CGM";"PEÇAS";"4551224581 - 001";"21/05/2024 00:00:00";"26/06/2024 00:00:00";"05/06/2024 00:00:00";"PIRELLI COMERCIAL DE PNEUS BRASIL LTDA (200331)";"0";"0";"0";"0";"2495,28";"2495,28";
"BORDERÔ CNH - DESPESA";"BORDERÔ CNH";"CGM";"ADMINISTRATIVO";"7525885 - 001";"06/06/2024 00:00:00";"07/06/2024 00:00:00";"06/06/2024 00:00:00";"ADMINISTRADORA DE CONSÓRCIO NACIONAL HONDA (70172)";"0";"0";"0";"0";"2567,85";"2567,85";
"EMPLACAMENTO - DESPESA CLIENTE";"DUPLICATAS A PAGAR";"CGM";"FINANCEIRO";"123414 - 001";"06/06/2024 00:00:00";"06/06/2024 00:00:00";"06/06/2024 00:00:00";"ALTAMIRO ANTONIO FERREIRA SOUZA (258800)";"0";"0";"0";"0";"397,35";"397,35";
"COMPRA DE MOTOS USADAS";"DUP A PAGAR - TERCEIROS";"CGM";"VEÍCULOS";"38698/1 - 001";"06/06/2024 00:00:00";"06/06/2024 00:00:00";"06/06/2024 00:00:00";"JANAINA PEREIRA DOS SANTOS SILVA (227333)";"28873,17";"0";"0";"28873,17";"57210,00";"28336,83";
"COPA E COZINHA";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"001701 - 001";"06/06/2024 00:00:00";"27/06/2024 00:00:00";"07/06/2024 00:00:00";"PRIME PRODUTOS DE LIMPEZA LTDA (226749)";"0";"0";"0";"0";"487,35";"487,35";
"COPA E COZINHA";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"001701 - 002";"06/06/2024 00:00:00";"04/07/2024 00:00:00";"07/06/2024 00:00:00";"PRIME PRODUTOS DE LIMPEZA LTDA (226749)";"0";"0";"0";"0";"487,36";"487,36";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002953280 - 001";"03/06/2024 00:00:00";"03/07/2024 00:00:00";"07/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"86,11";"86,11";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002953611 - 001";"04/06/2024 00:00:00";"04/07/2024 00:00:00";"07/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"28,80";"28,80";
"COMPRA DE ACESSÓRIOS";"DUP A PAGAR - TERCEIROS";"CGM";"PEÇAS";"000096850 - 001";"30/05/2024 00:00:00";"29/06/2024 00:00:00";"08/06/2024 00:00:00";"STARPLAST DA BAHIA IND. E COM. LTDA (44399)";"0";"0";"0";"0";"1945,46";"1945,46";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015253914 - 001";"28/05/2024 00:00:00";"27/06/2024 00:00:00";"08/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"200,36";"200,36";
"COMPRA DE ACESSÓRIOS";"DUP A PAGAR - TERCEIROS";"CGM";"PEÇAS";"000143631 - 001";"28/05/2024 00:00:00";"27/06/2024 00:00:00";"10/06/2024 00:00:00";"STARPLAST INDUSTRIA E COMERCIO LTDA (97981)";"0";"0";"0";"0";"3402,24";"3402,24";
"COMPRA DE PEÇAS HONDA";"DUPLICATAS A PAGAR";"CGM";"PEÇAS";"000025119 - 001";"10/05/2024 00:00:00";"07/09/2024 00:00:00";"10/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (223642)";"0";"0";"0";"0";"55,43";"55,43";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015254030 - 001";"28/05/2024 00:00:00";"27/06/2024 00:00:00";"10/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"229,04";"229,04";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015254278 - 001";"28/05/2024 00:00:00";"27/06/2024 00:00:00";"10/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"339,40";"339,40";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015255509 - 001";"29/05/2024 00:00:00";"26/09/2024 00:00:00";"10/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"6529,42";"6529,42";
"COMPRA DE PEÇAS PARALELAS";"A RECEBER DUPLICATAS";"CGM";"PEÇAS";"4551224381 - 001";"20/05/2024 00:00:00";"26/06/2024 00:00:00";"10/06/2024 00:00:00";"PIRELLI COMERCIAL DE PNEUS BRASIL LTDA (200331)";"0";"0";"0";"0";"18643,85";"18643,85";
"COMPRA DE MOTOS 0KM";"DUP A PAGAR - HONDA MOTOS";"CGM";"VEÍCULOS";"18080673 - 001";"27/05/2024 00:00:00";"06/06/2025 00:00:00";"10/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (3)";"0";"0";"0";"0";"12084,86";"12084,86";
"VIAGEM, HOSPEDAGEM E REFEIÇÕES";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"338 - 001";"11/06/2024 00:00:00";"11/06/2024 00:00:00";"11/06/2024 00:00:00";"VILANEUVE FERREIRA DE ALMEIDA (200963)";"0";"0";"0";"0";"316,00";"316,00";
"MATERIAL DE CONSUMO OFICINA";"DUPLICATAS A PAGAR";"CGM";"OFICINA";"1 - 001";"07/06/2024 00:00:00";"25/06/2024 00:00:00";"11/06/2024 00:00:00";"JEP DISTRIBUIDORA DE PRODUTOS AUTOMOTIVOS LTDA. (109370)";"0";"0";"0";"0";"474,00";"474,00";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002955016 - 001";"06/06/2024 00:00:00";"06/07/2024 00:00:00";"11/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"11,72";"11,72";
"COMPRA DE PEÇAS PARALELAS";"DUPLICATAS A PAGAR";"CGM";"PEÇAS";"1000001407 - 001";"06/06/2024 00:00:00";"05/07/2024 00:00:00";"11/06/2024 00:00:00";"IMAFEL DISTRIBUIDORA DE PRODUTOS AUTOMOTIVOS LTDA (230849)";"0";"0";"0";"0";"769,43";"769,43";
"COMPRA DE PEÇAS PARALELAS";"DUPLICATAS A PAGAR";"CGM";"PEÇAS";"1000001407 - 002";"06/06/2024 00:00:00";"04/08/2024 00:00:00";"11/06/2024 00:00:00";"IMAFEL DISTRIBUIDORA DE PRODUTOS AUTOMOTIVOS LTDA (230849)";"0";"0";"0";"0";"769,43";"769,43";
"COMPRA DE PEÇAS PARALELAS";"DUPLICATAS A PAGAR";"CGM";"PEÇAS";"1000001407 - 003";"06/06/2024 00:00:00";"03/09/2024 00:00:00";"11/06/2024 00:00:00";"IMAFEL DISTRIBUIDORA DE PRODUTOS AUTOMOTIVOS LTDA (230849)";"0";"0";"0";"0";"769,44";"769,44";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002955910 - 001";"07/06/2024 00:00:00";"07/07/2024 00:00:00";"12/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"782,70";"782,70";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002955911 - 001";"07/06/2024 00:00:00";"07/07/2024 00:00:00";"12/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"715,00";"715,00";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002955979 - 001";"07/06/2024 00:00:00";"07/07/2024 00:00:00";"12/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"3508,16";"3508,16";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002956275 - 001";"10/06/2024 00:00:00";"10/07/2024 00:00:00";"12/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"118,67";"118,67";
"COMBUSTÍVEIS E LUBRIFICANTES - CONSUMO";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"25117 - 001";"30/05/2024 00:00:00";"13/06/2024 00:00:00";"13/06/2024 00:00:00";"BARROS COMERCIO DE COMBUSTIVEL E CONVENIENCIA LTDA (198092)";"0";"0";"0";"0";"289,29";"289,29";
"COMBUSTÍVEIS E LUBRIFICANTES - CONSUMO";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"25273 - 001";"13/06/2024 00:00:00";"13/06/2024 00:00:00";"13/06/2024 00:00:00";"BARROS COMERCIO DE COMBUSTIVEL E CONVENIENCIA LTDA (198092)";"0";"0";"0";"0";"546,05";"546,05";
"COMBUSTÍVEIS E LUBRIFICANTES - CONSUMO";"DUP A PAGAR - TERCEIROS";"CGM";"ADMINISTRATIVO";"44350 - 001";"10/06/2024 00:00:00";"13/06/2024 00:00:00";"13/06/2024 00:00:00";"POSTO DE COMBUSTÍVEL E CONV. SNATO ANTONIO LTDA (156814)";"0";"0";"0";"0";"509,38";"509,38";
"PROPAGANDA E PUBLICIDADE";"DUPLICATAS A PAGAR";"CGM";"COMERCIAL";"403 - 001";"13/06/2024 00:00:00";"15/07/2024 00:00:00";"13/06/2024 00:00:00";"TELEVISÃO BORBOREMA S/A (202612)";"0";"0";"0";"0";"2200,00";"2200,00";
"CURSOS/TREINAMENTOS";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"14593 - 001";"14/06/2024 00:00:00";"21/06/2024 00:00:00";"14/06/2024 00:00:00";"CR TURISMO LTDA (97460)";"0";"0";"0";"0";"690,00";"690,00";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002957033 - 001";"11/06/2024 00:00:00";"11/07/2024 00:00:00";"15/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"180,10";"180,10";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002957359 - 001";"12/06/2024 00:00:00";"12/07/2024 00:00:00";"15/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"5984,77";"5984,77";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002957480 - 001";"12/06/2024 00:00:00";"12/07/2024 00:00:00";"15/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"1745,73";"1745,73";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015259363 - 001";"31/05/2024 00:00:00";"30/06/2024 00:00:00";"15/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"16,36";"16,36";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015262384 - 001";"05/06/2024 00:00:00";"05/07/2024 00:00:00";"15/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"348,60";"348,60";
"COMPRA DE MOTOS 0KM";"DUP A PAGAR - HONDA MOTOS";"CGM";"VEÍCULOS";"18115148 - 001";"04/06/2024 00:00:00";"21/06/2024 00:00:00";"15/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (3)";"0";"0";"0";"0";"17111,95";"17111,95";
"COMPRA DE MOTOS 0KM";"DUP A PAGAR - HONDA MOTOS";"CGM";"VEÍCULOS";"18115149 - 001";"04/06/2024 00:00:00";"21/06/2024 00:00:00";"15/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (3)";"0";"0";"0";"0";"17111,95";"17111,95";
"ÁGUA E ESGOTO";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"JUN/2024 - 001";"17/06/2024 00:00:00";"22/06/2024 00:00:00";"17/06/2024 00:00:00";"COMPANHIA DE AGUA E ESGOTOS DA PARAIBA (109738)";"0";"0";"0";"0";"802,34";"802,34";
"SERVIÇOS DE TERCEIROS";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"3891 - 001";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"FORSEG SERVIÇOS DE SEGURANÇA ELETRONICA LTDA-ME (229808)";"0";"0";"0";"0";"12384,15";"12384,15";
"COMPRA DE ACESSÓRIOS";"DUPLICATAS A PAGAR";"CGM";"PEÇAS";"101036/1 - 001";"15/06/2024 00:00:00";"25/06/2024 00:00:00";"17/06/2024 00:00:00";"FORMULA H COMERCIO DE MOTOS LTDA (95544)";"0";"0";"0";"0";"291,84";"291,84";
"CONTA DE TELEFONE";"DUPLICATAS A PAGAR";"CGM";"TI";"268864 - 001";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"INTELBRAS SA INDUST DE TELECOMUNICAÇÃO ELETRONICA (208006)";"0";"0";"0";"0";"104,70";"104,70";
"CONTA DE TELEFONE";"DUPLICATAS A PAGAR";"CGM";"TI";"269662 - 001";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"INTELBRAS SA INDUST DE TELECOMUNICAÇÃO ELETRONICA (208006)";"0";"0";"0";"0";"1438,60";"1438,60";
"CONTA DE TELEFONE";"DUPLICATAS A PAGAR";"CGM";"TI";"44476 - 001";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"INTELBRAS SA INDUST DE TELECOMUNICAÇÃO ELETRONICA (208006)";"0";"0";"0";"0";"135,00";"135,00";
"CONTA DE TELEFONE";"DUPLICATAS A PAGAR";"CGM";"TI";"44913 - 001";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"INTELBRAS SA INDUST DE TELECOMUNICAÇÃO ELETRONICA (208006)";"0";"0";"0";"0";"40,50";"40,50";
"CONTA DE TELEFONE";"DUPLICATAS A PAGAR";"CGM";"TI";"45231 - 001";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"17/06/2024 00:00:00";"INTELBRAS SA INDUST DE TELECOMUNICAÇÃO ELETRONICA (208006)";"0";"0";"0";"0";"906,32";"906,32";
"COMPRA DE MOTOS 0KM";"DUP A PAGAR - HONDA MOTOS";"CGM";"VEÍCULOS";"18157983 - 001";"13/06/2024 00:00:00";"28/06/2024 00:00:00";"17/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (3)";"0";"0";"0";"0";"14065,41";"14065,41";
"CSLL";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"070124170218247 - 001";"18/06/2024 00:00:00";"28/06/2024 00:00:00";"18/06/2024 00:00:00";"SECRETARIA DA RECEITA FEDERAL (171078)";"0";"0";"0";"0";"50705,46";"50705,46";
"IRPJ";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"070124170217381 - 001";"18/06/2024 00:00:00";"28/06/2024 00:00:00";"18/06/2024 00:00:00";"SECRETARIA DA RECEITA FEDERAL (171078)";"0";"0";"0";"0";"133266,92";"133266,92";
"PIS/COFINS/CSLL";"DUPLICATAS A PAGAR";"CGM";"FINANCEIRO";"070124170210752 - 001";"18/06/2024 00:00:00";"25/06/2024 00:00:00";"18/06/2024 00:00:00";"SECRETARIA DA RECEITA FEDERAL (171078)";"0";"0";"0";"0";"7319,65";"7319,65";
"PIS/COFINS/CSLL";"DUPLICATAS A PAGAR";"CGM";"FINANCEIRO";"070124170211301 - 001";"18/06/2024 00:00:00";"25/06/2024 00:00:00";"18/06/2024 00:00:00";"SECRETARIA DA RECEITA FEDERAL (171078)";"0";"0";"0";"0";"235,17";"235,17";
"PIS/COFINS/CSLL";"DUPLICATAS A PAGAR";"CGM";"FINANCEIRO";"070124170211716 - 001";"18/06/2024 00:00:00";"25/06/2024 00:00:00";"18/06/2024 00:00:00";"SECRETARIA DA RECEITA FEDERAL (171078)";"0";"0";"0";"0";"34540,69";"34540,69";
"PIS/COFINS/CSLL";"DUPLICATAS A PAGAR";"CGM";"FINANCEIRO";"070124170212158 - 001";"18/06/2024 00:00:00";"25/06/2024 00:00:00";"18/06/2024 00:00:00";"SECRETARIA DA RECEITA FEDERAL (171078)";"0";"0";"0";"0";"1085,41";"1085,41";
"BENS DE PEQUENO VALOR - OFICINA";"DUPLICATAS A PAGAR";"CGM";"OFICINA";"21233 - 001";"18/06/2024 00:00:00";"18/06/2024 00:00:00";"18/06/2024 00:00:00";"MRC SERVIÇOS DE MARKETING LTDA  (199911)";"0";"0";"0";"0";"169,31";"169,31";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015263374 - 001";"06/06/2024 00:00:00";"06/07/2024 00:00:00";"18/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"734,09";"734,09";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"015263375 - 001";"06/06/2024 00:00:00";"06/07/2024 00:00:00";"18/06/2024 00:00:00";"MOTO HONDA DA AMAZÔNIA LTDA (6)";"0";"0";"0";"0";"58,25";"58,25";
